Reference, Quantity, Value, Digi-Key_PN,Digi-Key_Substitute
C13 C15 ,2,27pF,311-1063-1-ND,
C6 C10 C12 C14 ,4,1uF,1276-6524-1-ND,
C1 C2 C3 C4 C5 C7 C8 C9 C11 C16 ,10,0.1uF,311-1344-1-ND,
CR1 ,1,MBR120VLSFT1G,MBR120VLSFT1GOSCT-ND,SM5817PL-TPMSCT-ND
J1 ,1,10118193-0001LF,609-4616-1-ND,
J2,1,Conn_01x02,,
J8,1,Conn_01x02,S7035-ND,
J3 J6,2,Conn_01x03,,
J7,1,Conn_01x03,S7036-ND,
J4 ,1,Conn_01x18,1988-1035-ND,
J5 ,1,Conn_01x20,1988-1136-ND,
JP1 JP2 JP3 ,3,SolderJumper_2_Bridged,,
LED1 ,1,150060VS75000,732-4980-1-ND,
R1 R3 R9 ,3,10K,311-10KGRCT-ND,
R4 R5 ,2,27,311-27.0HRCT-ND,
R6 ,1,DNP,,
R2 R7 R8 ,3,1K,311-1.00KHRCT-ND,
SW1 ,1,PTS810_SJK_250_SMTR_LFS,CKN10503CT-ND,
U1 ,1,RP2040,TBD,
U2 ,1,AP2112K-3.3TRG1,AP2112K-3.3TRG1DICT-ND,893-1075-1-ND
U3 ,1,W25Q16JVSSIQ,256-W25Q16JVSSIM-ND,1092-1222-ND
Y1 ,1,12MHz,535-13415-1-ND,
